,count,mean,std,min,25%,50%,75%,max
a,200.0,0.5436869732865367,0.28848485666636353,0.0011788944717843197,0.2829828458682315,0.5714693859888411,0.8024453555989184,0.994065514800486
b,200.0,0.5134489272701819,0.27438209940404,0.0015342962013903394,0.27869095456468884,0.538215607064978,0.7477205137459348,0.9948516319684854
c,200.0,0.5028688196860636,0.3031231015330623,0.0017927253353912098,0.22074488471224954,0.5330179977249284,0.7667908376328788,0.9901599246329029
d,200.0,0.5118981429891085,0.30175268312646225,0.00034855774633923975,0.24003607758793225,0.5409440193883436,0.7691733939652223,0.9962782356791913
e,200.0,0.5120613771167608,0.2910238078075281,0.00041783889037605437,0.25690936482889404,0.527287773057868,0.786178388061926,0.9898974983323965
f,200.0,0.5157156618242127,0.281142850912659,0.0018060132476122037,0.2849884584719205,0.52242794368713,0.7504217560716877,0.990814448945898
g,200.0,0.5154937717932665,0.2851632986491245,0.0009292168605036233,0.2688771547440665,0.514394807757771,0.7528459934692794,0.9979230748032576
h,200.0,0.5206193816734869,0.2753490647206856,0.008329329314240574,0.29372874232634283,0.5249119695697588,0.7461861477443659,0.9906560939230388
i,200.0,0.5049243366013697,0.29355455539853564,0.0192632563508639,0.2507770081183667,0.4994815868799927,0.7672868819345526,0.9903568871887007
j,200.0,0.5424286737180136,0.2987618911974061,0.003429019355823293,0.2850259305163034,0.5532217347017507,0.792924152412677,0.9988025727758905
k,200.0,0.5186173994546492,0.2842573494956419,0.010863076943271821,0.26474269442852816,0.5377743781442155,0.7592011516360779,0.9928451536689381
l,200.0,0.4981555842963784,0.2845224137596268,0.005281241157461536,0.2618054541484393,0.4886077658324414,0.7514042111188514,0.9939251078583717
m,200.0,0.5032222847751772,0.3014769255475485,0.005287961076582914,0.2335011896428886,0.4930129957766624,0.7764626615742415,0.9967455009393501
n,200.0,0.5032653193405622,0.2943820032466649,0.0030043599000318943,0.25300609240093375,0.5155214870046674,0.758253633917239,0.9991596286283452
o,200.0,0.4990140793223292,0.28916459945622797,0.0014018921917600125,0.26348155440546556,0.484424282286417,0.7376378635969931,0.9996740059370092
p,200.0,0.46239346059425285,0.2917813294068985,0.0027536915437356146,0.2092199342663423,0.4524740087328077,0.721919167712664,0.9990329860690289
q,200.0,0.46880153614424364,0.28258588162935033,0.0023870439169152435,0.21297469386930323,0.4778159778734732,0.6887192396261919,0.9785057509479238
r,200.0,0.5014443614374808,0.3004117308587338,0.0007075006496060077,0.2611339612409168,0.4904502505289204,0.7634766756918684,0.9991181247310487
s,200.0,0.5094205860358261,0.29453661787816726,0.0020201311810256195,0.22449919742506513,0.48857832719824884,0.7747308424371031,0.998544284184412
t,200.0,0.5032389374951314,0.2876031308468344,0.004788774320216294,0.2530923439877536,0.5253927880228325,0.7451028433685398,0.992097179003753
u,200.0,0.5194055040872917,0.29098538472597685,0.01612331538737466,0.26840959142857007,0.5532163209567698,0.7664628531378304,0.9968713158348211
v,200.0,0.4895034579001654,0.2876504393589849,0.004913942015194794,0.2614990692410546,0.47364646166768476,0.7317321508332081,0.995983651449881
w,200.0,0.4859172546852132,0.2982495024806735,0.0018306521102304796,0.2313253975986627,0.4605600151831957,0.7647993176659953,0.9829901101637188
x,200.0,0.5198502331175925,0.3052182845267491,0.0007753969201194089,0.24343279369143184,0.5205792610598943,0.8051584655627356,0.9940434612518039
y,200.0,0.5346181602771317,0.2824648045291571,0.012409382330029972,0.2955169127156385,0.5844071981869717,0.7685039372174176,0.9888035889447859
